type,size,original,mzip,zstd,gzip,bzip2,xz,brotli,7z,rar,lz4,snappy,time_mzip,time_zstd,decomp_mzip,decomp_zstd,detected,verified,mzip_ratio,advantage,winner
Sensor 16-bit,16KB,16384,6941,9447,9411,7369,8692,0,8768,9660,0,0,72.60,3.82,13.25,0.05,NUMERIC,yes,2.36,1.062,mzip
Access log,4KB,4096,682,724,760,738,796,0,873,874,0,0,7.98,3.12,13.19,0.02,TEMPLATE,yes,6.01,1.062,mzip
Syslog,64KB,65536,9020,11852,12081,9575,11732,0,11807,13447,0,0,82.89,38.25,13.41,0.10,TEMPLATE,yes,7.27,1.062,mzip
Syslog,16KB,16384,2567,3127,3241,2719,3264,0,3339,3629,0,0,20.23,7.91,15.03,0.04,TEMPLATE,yes,6.38,1.059,mzip
Syslog,1MB,1048576,129627,184664,187677,136993,173160,0,173245,197041,0,0,1450.13,599.95,46.21,1.69,TEMPLATE,yes,8.09,1.057,mzip
YAML config,1MB,1048576,39851,65588,77658,42094,67616,0,67702,73564,0,0,1823.46,894.69,45.37,0.71,BWT_TEXT,yes,26.31,1.056,mzip
Cargo.toml,1MB,1048576,37551,61745,70526,39664,62072,0,62157,67263,0,0,1866.48,981.29,42.31,0.66,BWT_TEXT,yes,27.92,1.056,mzip
HTML,1MB,1048558,66798,104732,123787,70429,102544,0,102628,114163,0,0,1659.71,667.86,46.41,0.98,HTML_STREAM,yes,15.70,1.054,mzip
Syslog,256KB,262144,33351,46705,47226,35152,44500,0,44586,50587,0,0,326.55,135.35,18.97,0.35,TEMPLATE,yes,7.86,1.054,mzip
JSON structured log,256KB,262144,30074,32451,35257,31698,32880,0,32965,39993,0,0,551.10,192.03,15.46,0.26,UNKNOWN,yes,8.72,1.054,mzip
INI config,4KB,4096,866,1038,1068,912,1136,0,1211,1200,0,0,55.07,1.45,13.73,0.01,KV_CONFIG,yes,4.73,1.053,mzip
TypeScript/JSX,1MB,1048576,44039,71525,93054,46368,73564,0,73648,82090,0,0,1962.10,963.41,51.63,0.70,BWT_TEXT,yes,23.81,1.053,mzip
Docker Compose,1MB,1048576,18849,25294,33442,19797,28572,0,28658,29710,0,0,2434.15,1629.74,40.89,0.37,BWT_TEXT,yes,55.63,1.050,mzip
Protobuf-like,4KB,4096,2654,3030,3068,2785,2992,0,3068,3181,0,0,63.18,0.68,13.79,0.03,DUAL_STREAM,yes,1.54,1.049,mzip
Bash script,1MB,1048576,36731,61212,72560,38403,66108,0,66192,67610,0,0,1772.02,912.63,45.36,0.72,BWT_TEXT,yes,28.55,1.046,mzip
JSON structured log,1MB,1048576,119714,128402,139559,124966,129456,0,129539,157871,0,0,1905.94,609.85,22.43,0.83,UNKNOWN,yes,8.76,1.044,mzip
CSS,1MB,1048576,42638,71083,81459,44446,76668,0,76751,81953,0,0,1678.05,792.32,45.28,0.67,BWT_TEXT,yes,24.59,1.042,mzip
Markdown docs,1MB,1048576,40305,70694,89494,42007,75828,0,75913,81124,0,0,1701.34,871.82,45.66,0.78,BWT_TEXT,yes,26.02,1.042,mzip
Sensor 16-bit,64KB,65536,27610,35642,35600,28773,31888,0,31965,35362,0,0,122.14,21.33,18.99,0.22,NUMERIC,yes,2.37,1.042,mzip
package.json,1MB,1048576,56507,88834,98841,58813,84776,0,84861,97939,0,0,1511.34,633.88,45.83,0.75,BWT_TEXT,yes,18.56,1.041,mzip
Email headers,1MB,1048576,78716,119100,138227,81796,119044,0,119129,134228,0,0,1584.78,685.42,48.81,0.90,BWT_TEXT,yes,13.32,1.039,mzip
Sensor 16-bit,1MB,1048576,440448,517538,554357,456322,480456,0,480541,534243,0,0,1399.89,580.69,17.34,3.52,NUMERIC,yes,2.38,1.036,mzip
Sensor 16-bit,256KB,262144,110289,133698,139381,114238,122872,0,122957,136756,0,0,332.16,88.62,15.95,0.94,NUMERIC,yes,2.38,1.036,mzip
HTML,256KB,262144,18291,28985,31975,18909,28372,0,28456,31724,0,0,518.94,200.49,27.10,0.31,HTML_STREAM,yes,14.33,1.034,mzip
SQL dump,1MB,1048526,56027,86846,99592,57742,87792,0,87878,95577,0,0,2002.04,1163.49,49.40,0.79,BWT_TEXT,yes,18.71,1.031,mzip
Protobuf-like,16KB,16384,10407,12050,12163,10705,11500,0,11576,12341,0,0,77.05,2.07,21.05,0.04,DUAL_STREAM,yes,1.57,1.029,mzip
INI config,256KB,262144,38904,53936,53041,40005,51704,0,51790,55880,0,0,464.48,195.78,23.09,0.50,KV_CONFIG,yes,6.74,1.028,mzip
Executable,16KB,16384,8385,10928,10814,11092,10784,0,10859,8618,0,0,84.90,3.94,17.54,0.06,NUMERIC,yes,1.95,1.028,mzip
Nginx access log,1MB,1048576,86906,119411,128768,89307,115712,0,115798,134261,0,0,1484.53,650.13,51.93,0.89,BWT_TEXT,yes,12.07,1.028,mzip
Unicode text,1MB,1048576,28089,46665,54502,28852,51884,0,51969,49159,0,0,1636.43,935.89,43.46,0.50,BWT_TEXT,yes,37.33,1.027,mzip
Protobuf-like,64KB,65536,41191,47970,48593,42277,45444,0,45530,49119,0,0,114.30,13.18,19.46,0.16,DUAL_STREAM,yes,1.59,1.026,mzip
Java,256KB,262144,10923,15806,20681,11202,15028,0,15111,17323,0,0,500.13,182.76,25.31,0.24,BWT_TEXT,yes,24.00,1.026,mzip
PHP,256KB,262144,8608,12638,15698,8788,12548,0,12632,14085,0,0,640.36,352.88,21.39,0.22,BWT_TEXT,yes,30.45,1.021,mzip
Base64 data,1MB,1048576,776333,791248,792355,793501,807404,0,807490,813831,0,0,915.88,194.42,19.40,2.08,BASE64_DECODE,yes,1.35,1.019,mzip
Base64 data,256KB,262144,194157,197843,198141,198401,202140,0,202226,203395,0,0,314.60,48.91,22.64,0.60,BASE64_DECODE,yes,1.35,1.019,mzip
Base64 data,64KB,65536,48610,49498,49598,49651,50796,0,50873,50926,0,0,108.85,9.62,18.13,0.19,BASE64_DECODE,yes,1.35,1.018,mzip
Protobuf-like,256KB,262144,164191,191794,194176,167134,181092,0,181175,195666,0,0,344.42,57.28,16.45,0.59,DUAL_STREAM,yes,1.60,1.018,mzip
Go,256KB,262144,8557,13284,15381,8692,14012,0,14097,14263,0,0,733.29,405.93,24.24,0.16,BWT_TEXT,yes,30.64,1.016,mzip
Protobuf-like,1MB,1048576,656313,768189,776628,666478,720616,0,720699,773740,0,0,1128.43,250.67,14.34,2.31,DUAL_STREAM,yes,1.60,1.015,mzip
Terraform HCL,1MB,1048576,43137,46609,57256,43719,44116,0,44202,54697,0,0,2839.96,2014.48,39.40,0.54,BWT_TEXT,yes,24.31,1.013,mzip
Base64 data,16KB,16384,12225,12387,12455,12464,12892,0,12968,12836,0,0,70.10,1.73,14.57,0.05,BASE64_DECODE,yes,1.34,1.013,mzip
TOML config,1MB,1048576,112493,149098,157820,113819,148176,0,148260,166867,0,0,1516.06,562.45,50.41,1.04,BWT_TEXT,yes,9.32,1.012,mzip
Cargo.toml,256KB,262144,10518,16952,18273,10591,16904,0,16988,18280,0,0,579.07,317.06,21.47,0.20,BWT_TEXT,yes,24.92,1.007,mzip
Java,64KB,65536,4003,4993,5820,4023,4764,0,4840,5356,0,0,166.75,50.38,17.56,0.07,BWT_TEXT,yes,16.37,1.005,mzip
Python,256KB,262144,12750,20138,25178,12806,20508,0,20591,22153,0,0,606.11,311.45,23.27,0.26,BWT_TEXT,yes,20.56,1.004,mzip
.env file,1MB,1048576,290224,319790,332124,291414,321684,0,321768,338189,0,0,1623.39,487.36,60.36,1.45,BWT_TEXT,yes,3.61,1.004,mzip
TOML config,256KB,262144,29497,38909,39970,29607,38608,0,38693,44014,0,0,442.35,160.18,26.73,0.33,BWT_TEXT,yes,8.89,1.004,mzip
.env file,64KB,65536,19897,21302,21642,19964,21472,0,21556,22408,0,0,164.10,39.42,20.31,0.13,BWT_TEXT,yes,3.29,1.003,mzip
CSS,256KB,262144,12202,19749,21032,12230,20560,0,20644,22283,0,0,536.55,254.08,22.26,0.22,BWT_TEXT,yes,21.48,1.002,mzip
Markdown docs,256KB,262144,11420,20064,22954,11441,20656,0,20741,22466,0,0,486.85,250.31,19.88,0.26,BWT_TEXT,yes,22.95,1.002,mzip
TypeScript/JSX,256KB,262144,12915,20544,24113,12935,20572,0,20657,23316,0,0,669.45,309.01,26.01,0.24,BWT_TEXT,yes,20.30,1.002,mzip
Random bytes,4KB,4096,4100,4106,4132,4286,4152,0,4230,4173,0,0,59.12,0.34,0.01,0.00,BWT_TEXT,yes,1.00,1.001,mzip
Bash script,256KB,262144,10534,17080,18859,10548,18416,0,18500,18763,0,0,545.38,279.44,23.78,0.24,BWT_TEXT,yes,24.89,1.001,mzip
PHP,64KB,65536,3333,4120,4649,3337,4056,0,4142,4545,0,0,198.16,90.69,19.20,0.07,BWT_TEXT,yes,19.66,1.001,mzip
Natural text,1MB,1048576,114273,147219,160004,114399,146816,0,146900,163430,0,0,1608.14,698.93,67.48,1.41,BWT_TEXT,yes,9.18,1.001,mzip
Base64 data,4KB,4096,3126,3128,3150,3170,3360,0,3436,3269,0,0,59.04,0.36,14.81,0.01,BASE64_DECODE,yes,1.31,1.001,mzip
C,64KB,65536,5327,7106,7465,5330,7004,0,7082,7705,0,0,181.29,69.00,19.53,0.12,BWT_TEXT,yes,12.30,1.001,mzip
Docker Compose,256KB,262144,5681,6959,8841,5684,7736,0,7820,8226,0,0,827.35,586.34,20.62,0.12,BWT_TEXT,yes,46.14,1.001,mzip
Random bytes,16KB,16384,16389,16394,16421,16575,16440,0,16518,16541,0,0,168.85,2.34,0.01,0.01,BWT_TEXT,yes,1.00,1.000,mzip
C,256KB,262144,15686,22844,26379,15689,23000,0,23083,25017,0,0,613.40,279.48,29.04,0.26,BWT_TEXT,yes,16.71,1.000,mzip
Random bytes,64KB,65536,65541,65546,65578,65843,65596,0,65673,65694,0,0,373.60,9.16,0.06,0.02,BWT_TEXT,yes,1.00,1.000,mzip
Random bytes,256KB,262144,262149,262159,262207,262971,262216,0,262301,262304,0,0,1294.20,29.97,0.07,0.11,BWT_TEXT,yes,1.00,1.000,mzip
Random bytes,1MB,1048576,1048581,1048609,1048719,1051618,1048696,0,1048781,1048744,0,0,1052.55,195.14,0.70,0.35,INCOMPRESSIBLE,yes,1.00,1.000,mzip
K8s manifests,16KB,16384,1684,1684,1752,1767,1716,0,1791,1838,0,0,92.70,17.90,0.04,0.03,BWT_TEXT,yes,9.73,1.000,mzip
Docker Compose,16KB,16384,1016,1016,1087,1180,1072,0,1148,1113,0,0,98.43,32.00,0.04,0.03,BWT_TEXT,yes,16.13,1.000,mzip
JSON structured log,16KB,16384,2477,2477,2642,2627,2600,0,2676,2940,0,0,32.22,9.84,0.04,0.03,UNKNOWN,yes,6.61,1.000,mzip
Terraform HCL,16KB,16384,1295,1295,1470,1508,1320,0,1397,1443,0,0,80.03,17.75,0.06,0.03,BWT_TEXT,yes,12.65,1.000,mzip
SQL dump,4KB,3939,962,962,973,981,1000,0,1078,1050,0,0,63.65,3.27,0.04,0.02,BWT_TEXT,yes,4.09,1.000,mzip
PHP,4KB,4096,792,792,817,882,840,0,918,885,0,0,60.72,2.78,0.04,0.01,BWT_TEXT,yes,5.17,1.000,mzip
Bash script,4KB,4096,853,853,875,941,900,0,978,959,0,0,59.58,2.42,0.04,0.01,BWT_TEXT,yes,4.80,1.000,mzip
CSS,4KB,4096,860,860,878,894,916,0,992,953,0,0,57.85,2.62,0.04,0.02,BWT_TEXT,yes,4.76,1.000,mzip
Java,4KB,4096,821,821,837,863,876,0,951,906,0,0,63.78,2.23,0.04,0.02,BWT_TEXT,yes,4.99,1.000,mzip
Rust,4KB,4096,895,895,901,973,948,0,1023,981,0,0,69.21,3.04,0.04,0.02,BWT_TEXT,yes,4.58,1.000,mzip
JavaScript,4KB,4096,1084,1084,1110,1164,1140,0,1215,1184,0,0,70.22,2.42,0.04,0.02,BWT_TEXT,yes,3.78,1.000,mzip
Go,4KB,4096,846,846,849,1003,888,0,963,926,0,0,58.87,4.39,0.06,0.02,BWT_TEXT,yes,4.84,1.000,mzip
TypeScript/JSX,4KB,4096,987,987,1009,995,1032,0,1107,1085,0,0,58.74,2.18,0.04,0.01,BWT_TEXT,yes,4.15,1.000,mzip
Python,4KB,4096,1145,1145,1170,1211,1224,0,1301,1268,0,0,57.85,2.90,0.04,0.03,BWT_TEXT,yes,3.58,1.000,mzip
JSON structured log,4KB,4096,897,897,931,1005,972,0,1048,1018,0,0,8.02,2.19,0.03,0.03,CHAR_TEMPLATE,yes,4.57,1.000,mzip
Metrics/TSeries,64KB,65536,8033,9343,9457,8033,9284,0,9367,11152,0,0,103.67,51.13,16.24,0.09,TEMPLATE,yes,8.16,1.000,mzip
YAML config,4KB,4096,745,745,774,814,796,0,872,833,0,0,67.86,3.35,0.03,0.01,BWT_TEXT,yes,5.50,1.000,mzip
Nginx access log,4KB,4096,1051,1051,1062,1121,1076,0,1151,1151,0,0,64.89,3.47,0.05,0.02,BWT_TEXT,yes,3.90,1.000,mzip
Terraform HCL,64KB,65536,3478,3478,4208,3577,3492,0,3576,4008,0,0,192.25,95.90,0.11,0.06,BWT_TEXT,yes,18.84,1.000,mzip
