type,size,original,mzip,zstd,gzip,bzip2,xz,brotli,7z,rar,lz4,snappy,time_mzip,time_zstd,decomp_mzip,decomp_zstd,detected,verified,mzip_ratio,advantage,winner
Sparse bitmap,16KB,16384,192,336,347,275,448,296,525,445,0,0,65.77,15.15,13.73,0.03,SPARSE,yes,85.33,1.432,mzip
Integer array,16KB,16384,896,4257,5750,5545,2396,4561,2472,1259,0,0,65.51,3.74,15.75,0.09,NUMERIC,yes,18.29,1.405,mzip
CSV data,256KB,262112,24525,44898,58003,51771,34120,37369,34204,60258,0,0,707.51,239.43,19.45,0.60,CSV_COLUMNAR,yes,10.69,1.391,mzip
CSV data,1MB,1048553,91075,180051,228589,197498,125500,142806,125585,228621,0,0,2767.42,732.07,37.08,2.79,CSV_COLUMNAR,yes,11.51,1.378,mzip
CSV data,64KB,65520,7255,12549,15283,13732,9988,10127,10065,16704,0,0,177.10,45.58,14.55,0.16,CSV_COLUMNAR,yes,9.03,1.377,mzip
Integer array,64KB,65536,3350,40250,22832,22247,8080,18389,8156,4536,0,0,90.11,11.64,12.88,0.12,NUMERIC,yes,19.56,1.354,mzip
Makefile,1MB,1048576,47666,71438,100273,77697,63744,63177,63827,89653,0,0,2549.79,1419.36,17.71,0.99,UNKNOWN,yes,22.00,1.325,mzip
Integer array,256KB,262144,13213,115832,91036,89248,29700,92287,29786,17487,0,0,303.89,132.61,15.12,1.13,NUMERIC,yes,19.84,1.323,mzip
Integer array,1MB,1048576,52614,319051,363956,359174,114888,309445,114974,69538,0,0,983.06,317.57,16.04,5.25,NUMERIC,yes,19.93,1.322,mzip
CSV data,16KB,16347,2163,3328,4135,3695,2984,2778,3061,4459,0,0,82.07,9.97,14.29,0.07,CSV_COLUMNAR,yes,7.56,1.284,mzip
Timestamps (jitter),4KB,4096,923,3282,3232,3283,2172,2885,2250,1180,0,0,52.18,0.53,12.19,0.02,NUMERIC,yes,4.44,1.278,mzip
Sparse bitmap,64KB,65536,689,1251,1244,880,1460,1046,1544,1369,0,0,98.36,50.29,11.35,0.04,SPARSE,yes,95.12,1.277,mzip
JSON API,4KB,3955,276,397,516,464,504,352,579,556,0,0,7.74,3.25,16.95,0.03,TEMPLATE,yes,14.33,1.275,mzip
Makefile,256KB,262144,13060,18580,25342,19452,17004,16621,17089,23045,0,0,866.50,662.93,15.81,0.45,UNKNOWN,yes,20.07,1.273,mzip
GPS coordinates,16KB,16384,2582,9555,9766,11801,6636,6903,6713,3207,0,0,56.50,2.61,11.55,0.09,NUMERIC,yes,6.35,1.242,mzip
Makefile,64KB,65536,3876,5330,6883,5276,5024,4752,5107,6414,0,0,203.17,61.83,12.03,0.09,UNKNOWN,yes,16.91,1.226,mzip
Timestamps (jitter),16KB,16384,3613,13395,12824,12865,8384,8810,8460,4269,0,0,60.08,1.67,17.48,0.04,NUMERIC,yes,4.53,1.182,mzip
JavaScript,64KB,65536,4511,6852,7255,5319,6804,6358,6879,7410,0,0,261.19,76.79,13.65,0.10,CODE_STREAM,yes,14.53,1.179,mzip
JavaScript,256KB,262144,11366,20474,24970,13230,20508,19471,20593,22439,0,0,919.73,303.16,20.99,0.24,CODE_STREAM,yes,23.06,1.164,mzip
GPS coordinates,1MB,1048576,158365,606341,619990,747826,417148,439067,417233,183429,0,0,1035.47,346.13,13.75,6.05,NUMERIC,yes,6.62,1.158,mzip
JavaScript,1MB,1048576,38287,67586,95036,44108,68500,65512,68584,75302,0,0,3351.48,1348.46,58.20,0.74,CODE_STREAM,yes,27.39,1.152,mzip
GPS coordinates,256KB,262144,39663,151725,155147,187183,104392,109211,104475,45686,0,0,284.48,101.19,17.44,1.52,NUMERIC,yes,6.61,1.152,mzip
GPS coordinates,64KB,65536,9980,38300,38829,46979,26184,27443,26260,11452,0,0,90.00,11.88,11.02,0.29,NUMERIC,yes,6.57,1.147,mzip
Sparse bitmap,256KB,262144,2682,4485,4644,3076,5424,4020,5508,5061,0,0,327.63,205.65,14.36,0.12,SPARSE,yes,97.74,1.147,mzip
JavaScript,16KB,16384,1968,2532,2602,2392,2544,2247,2621,2703,0,0,97.12,12.78,15.33,0.03,CODE_STREAM,yes,8.33,1.142,mzip
Makefile,16KB,16384,1449,1904,2161,1893,1892,1636,1968,2118,0,0,82.52,14.88,11.50,0.04,UNKNOWN,yes,11.31,1.129,mzip
Python,1MB,1048576,36617,64560,97787,41125,68092,63689,68176,72135,0,0,2360.59,1234.99,58.79,0.76,BWT_TEXT,yes,28.64,1.123,mzip
Access log,256KB,262144,22406,31814,32820,25139,30212,30548,30297,37491,0,0,370.31,161.52,18.85,0.26,TEMPLATE,yes,11.70,1.122,mzip
K8s manifests,1MB,1048576,22391,33607,50913,24967,40172,32579,40256,38840,0,0,1588.52,755.70,41.24,0.45,BWT_TEXT,yes,46.83,1.115,mzip
Java,1MB,1048576,33492,55562,79186,37186,54988,47984,55071,61723,0,0,1854.76,755.22,59.33,0.80,BWT_TEXT,yes,31.31,1.110,mzip
Access log,1MB,1048576,87179,124277,129867,96667,116688,120148,116773,145040,0,0,1591.31,637.55,51.27,0.97,TEMPLATE,yes,12.03,1.109,mzip
PHP,1MB,1048576,25605,43540,59268,28242,44760,40126,44846,49245,0,0,2401.67,1356.88,54.42,0.53,BWT_TEXT,yes,40.95,1.103,mzip
Timestamps (jitter),64KB,65536,14365,56302,51530,51628,33176,35209,33253,15798,0,0,86.62,9.58,11.58,0.18,NUMERIC,yes,4.56,1.100,mzip
Executable,64KB,65536,32757,43802,42966,43549,41996,41105,42082,35805,0,0,118.01,18.43,12.27,0.20,NUMERIC,yes,2.00,1.093,mzip
Sparse bitmap,1MB,1048576,10629,17706,18333,11614,21136,15835,21219,19564,0,0,627.12,466.04,12.98,0.34,SPARSE,yes,98.65,1.093,mzip
Go,1MB,1048576,26726,44713,58102,29183,48948,45072,49031,48957,0,0,2443.29,1353.98,57.78,0.53,BWT_TEXT,yes,39.23,1.092,mzip
Timestamps (jitter),1MB,1048576,229406,850407,824669,838024,528472,555495,528558,250393,0,0,945.33,279.57,15.53,2.83,NUMERIC,yes,4.57,1.091,mzip
Timestamps (jitter),256KB,262144,57374,212551,206200,206653,132232,141145,132316,62608,0,0,271.57,55.56,14.68,0.83,NUMERIC,yes,4.57,1.091,mzip
Access log,16KB,16384,1906,2288,2403,2078,2372,2206,2448,2718,0,0,21.63,9.04,11.57,0.03,TEMPLATE,yes,8.60,1.090,mzip
XML document,4KB,3973,292,336,472,423,444,316,519,491,0,0,56.43,2.31,11.17,0.01,LINE_GROUP_TPL,yes,13.61,1.082,mzip
Rust,1MB,1048576,29612,49605,64701,32026,53412,47829,53495,55409,0,0,1961.07,995.36,63.53,0.61,BWT_TEXT,yes,35.41,1.082,mzip
Executable,1MB,1048576,500972,702996,682424,682685,660972,669495,661056,540390,0,0,1519.96,389.25,16.91,2.99,NUMERIC,yes,2.09,1.079,mzip
C,1MB,1048576,51818,79080,101555,55450,82548,74885,82631,88330,0,0,2297.06,1099.29,64.24,0.83,BWT_TEXT,yes,20.24,1.070,mzip
Access log,64KB,65536,6496,8246,8570,6951,8108,7973,8184,9931,0,0,91.03,43.28,15.06,0.09,TEMPLATE,yes,10.09,1.070,mzip
GraphQL queries,1MB,1048576,27397,49037,62686,29312,55592,49610,55677,55413,0,0,1975.11,1110.33,47.21,0.61,BWT_TEXT,yes,38.27,1.070,mzip
INI config,1MB,1048576,148248,209497,210227,158103,200100,203590,200186,218328,0,0,1682.52,849.47,29.77,1.71,KV_CONFIG,yes,7.07,1.066,mzip
Executable,4KB,4096,2084,2689,2682,2842,2756,2497,2834,2222,0,0,63.81,1.78,26.53,0.03,NUMERIC,yes,1.97,1.066,mzip
Executable,256KB,262144,127999,175778,171097,171897,166256,166727,166342,136145,0,0,475.17,101.02,16.94,0.79,NUMERIC,yes,2.05,1.064,mzip
Syslog,64KB,65536,9020,11852,12081,9575,11732,11357,11807,13447,0,0,84.97,47.79,14.07,0.12,TEMPLATE,yes,7.27,1.062,mzip
Syslog,16KB,16384,2567,3127,3241,2719,3264,2991,3339,3629,0,0,19.77,7.67,11.88,0.04,TEMPLATE,yes,6.38,1.059,mzip
Syslog,1MB,1048576,129627,184664,187677,136993,173160,176865,173245,197041,0,0,1403.25,607.47,57.75,1.37,TEMPLATE,yes,8.09,1.057,mzip
Syslog,4KB,4096,836,925,976,897,1020,883,1097,1097,0,0,6.62,1.73,13.06,0.01,TEMPLATE,yes,4.90,1.056,mzip
HTML,1MB,1048558,66700,104732,123787,70429,102544,103209,102628,114163,0,0,2021.09,826.84,54.15,1.02,HTML_STREAM,yes,15.72,1.056,mzip
Syslog,256KB,262144,33351,46705,47226,35152,44500,44521,44586,50587,0,0,347.46,153.30,18.85,0.36,TEMPLATE,yes,7.86,1.054,mzip
YAML config,1MB,1048576,39949,65588,77658,42094,67616,63554,67702,73564,0,0,1858.78,903.57,46.88,0.68,BWT_TEXT,yes,26.25,1.054,mzip
TypeScript/JSX,1MB,1048576,44017,71525,93054,46368,73564,70337,73648,82090,0,0,2344.45,1186.05,65.81,0.76,BWT_TEXT,yes,23.82,1.053,mzip
INI config,4KB,4096,866,1038,1068,912,1136,985,1211,1200,0,0,67.32,1.99,17.25,0.03,KV_CONFIG,yes,4.73,1.053,mzip
Cargo.toml,1MB,1048576,37687,61745,70526,39664,62072,61217,62157,67263,0,0,2013.60,1094.75,48.84,0.82,BWT_TEXT,yes,27.82,1.052,mzip
Bash script,1MB,1048576,36606,61212,72560,38403,66108,57582,66192,67610,0,0,2073.72,1072.97,65.34,0.72,BWT_TEXT,yes,28.64,1.049,mzip
Docker Compose,1MB,1048576,18900,25294,33442,19797,28572,22811,28658,29710,0,0,2846.43,1884.63,51.36,0.48,BWT_TEXT,yes,55.48,1.047,mzip
Markdown docs,1MB,1048576,40230,70694,89494,42007,75828,71652,75913,81124,0,0,1842.62,938.81,56.56,0.79,BWT_TEXT,yes,26.06,1.044,mzip
Nginx access log,1MB,1048576,85728,119411,128768,89307,115712,114951,115798,134261,0,0,1704.07,775.93,53.74,0.86,COLUMNAR,yes,12.23,1.042,mzip
CSS,1MB,1048576,42681,71083,81459,44446,76668,70007,76751,81953,0,0,1988.26,942.28,64.56,0.75,BWT_TEXT,yes,24.57,1.041,mzip
package.json,1MB,1048576,56529,88834,98841,58813,84776,85434,84861,97939,0,0,1667.47,701.90,55.84,0.76,BWT_TEXT,yes,18.55,1.040,mzip
Email headers,1MB,1048576,78669,119100,138227,81796,119044,117016,119129,134228,0,0,1664.19,696.81,47.44,0.93,BWT_TEXT,yes,13.33,1.040,mzip
Sensor 16-bit,64KB,65536,27610,35642,35600,28773,31888,28660,31965,35362,0,0,108.01,22.25,13.40,0.23,NUMERIC,yes,2.37,1.038,mzip
Sensor 16-bit,1MB,1048576,440448,517538,554357,456322,480456,465254,480541,534243,0,0,1486.50,585.18,15.08,3.49,NUMERIC,yes,2.38,1.036,mzip
Sensor 16-bit,256KB,262144,110289,133698,139381,114238,122872,114698,122957,136756,0,0,376.65,127.22,14.60,1.18,NUMERIC,yes,2.38,1.036,mzip
Sensor 16-bit,16KB,16384,6941,9447,9411,7369,8692,7187,8768,9660,0,0,61.47,3.52,12.55,0.05,NUMERIC,yes,2.36,1.035,mzip
HTML,256KB,262144,18288,28985,31975,18909,28372,28390,28456,31724,0,0,526.32,197.74,21.31,0.31,HTML_STREAM,yes,14.33,1.034,mzip
SQL dump,1MB,1048526,56029,86846,99592,57742,87792,84425,87878,95577,0,0,1963.13,1210.05,48.01,0.79,BWT_TEXT,yes,18.71,1.031,mzip
Protobuf-like,16KB,16384,10407,12050,12163,10705,11500,10715,11576,12341,0,0,80.06,2.10,18.17,0.04,DUAL_STREAM,yes,1.57,1.029,mzip
Unicode text,1MB,1048576,28056,46665,54502,28852,51884,46598,51969,49159,0,0,1677.68,940.21,46.69,0.54,BWT_TEXT,yes,37.37,1.028,mzip
INI config,256KB,262144,38904,53936,53041,40005,51704,52602,51790,55880,0,0,447.28,231.64,19.22,0.45,KV_CONFIG,yes,6.74,1.028,mzip
Executable,16KB,16384,8385,10928,10814,11092,10784,10264,10859,8618,0,0,62.94,3.86,11.74,0.05,NUMERIC,yes,1.95,1.028,mzip
Protobuf-like,64KB,65536,41191,47970,48593,42277,45444,42699,45530,49119,0,0,117.66,12.79,14.53,0.16,DUAL_STREAM,yes,1.59,1.026,mzip
Protobuf-like,4KB,4096,2654,3030,3068,2785,2992,2721,3068,3181,0,0,50.68,0.41,11.72,0.01,DUAL_STREAM,yes,1.54,1.025,mzip
Sensor 16-bit,4KB,4096,1787,2492,2464,1969,2436,1832,2512,2512,0,0,58.94,0.72,13.67,0.02,NUMERIC,yes,2.29,1.025,mzip
Nginx access log,256KB,262144,22952,31220,32631,23460,30016,29721,30100,35381,0,0,428.29,203.27,11.08,0.24,COLUMNAR,yes,11.42,1.022,mzip
CSV data,4KB,4047,802,902,1176,1068,976,819,1052,1243,0,0,55.84,1.37,11.97,0.01,CSV_COLUMNAR,yes,5.05,1.021,mzip
PHP,256KB,262144,8606,12638,15698,8788,12548,11319,12632,14085,0,0,745.78,356.81,20.12,0.17,BWT_TEXT,yes,30.46,1.021,mzip
Java,256KB,262144,10977,15806,20681,11202,15028,13408,15111,17323,0,0,531.09,193.24,21.11,0.22,BWT_TEXT,yes,23.88,1.020,mzip
Nginx access log,64KB,65536,6858,8539,8699,6993,8232,8030,8317,9734,0,0,150.36,56.88,3.35,0.08,COLUMNAR,yes,9.56,1.020,mzip
Protobuf-like,256KB,262144,164191,191794,194176,167134,181092,170707,181175,195666,0,0,454.76,122.64,17.91,0.72,DUAL_STREAM,yes,1.60,1.018,mzip
Protobuf-like,1MB,1048576,656313,768189,776628,666478,720616,682764,720699,773740,0,0,1157.25,260.10,14.76,2.29,DUAL_STREAM,yes,1.60,1.015,mzip
TOML config,1MB,1048576,112496,149098,157820,113819,148176,148006,148260,166867,0,0,1727.77,642.23,56.00,1.09,BWT_TEXT,yes,9.32,1.012,mzip
Go,256KB,262144,8615,13284,15381,8692,14012,13033,14097,14263,0,0,799.23,382.97,18.63,0.16,BWT_TEXT,yes,30.43,1.009,mzip
Java,64KB,65536,3996,4993,5820,4023,4764,4270,4840,5356,0,0,159.03,46.09,14.08,0.07,BWT_TEXT,yes,16.40,1.007,mzip
TOML config,256KB,262144,29428,38909,39970,29607,38608,38438,38693,44014,0,0,434.68,155.21,19.37,0.34,BWT_TEXT,yes,8.91,1.006,mzip
.env file,1MB,1048576,290059,319790,332124,291414,321684,312322,321768,338189,0,0,2068.62,560.04,65.79,1.41,BWT_TEXT,yes,3.62,1.005,mzip
.env file,64KB,65536,19876,21302,21642,19964,21472,20708,21556,22408,0,0,172.29,40.49,14.85,0.13,BWT_TEXT,yes,3.30,1.004,mzip
Natural text,1MB,1048576,113920,147219,160004,114399,146816,151402,146900,163430,0,0,1720.95,901.30,60.16,1.98,BWT_TEXT,yes,9.20,1.004,mzip
Python,256KB,262144,12754,20138,25178,12806,20508,19599,20591,22153,0,0,609.57,301.21,19.33,0.28,BWT_TEXT,yes,20.55,1.004,mzip
Cargo.toml,256KB,262144,10555,16952,18273,10591,16904,16584,16988,18280,0,0,581.96,331.89,22.79,0.20,BWT_TEXT,yes,24.84,1.003,mzip
CSS,256KB,262144,12201,19749,21032,12230,20560,19131,20644,22283,0,0,507.21,252.98,22.12,0.24,BWT_TEXT,yes,21.49,1.002,mzip
Rust,256KB,262144,9292,14538,17071,9310,15292,13832,15375,15988,0,0,583.21,338.58,19.45,0.20,BWT_TEXT,yes,28.21,1.002,mzip
Markdown docs,256KB,262144,11424,20064,22954,11441,20656,20386,20741,22466,0,0,573.98,334.03,22.32,0.25,BWT_TEXT,yes,22.95,1.001,mzip
.env file,256KB,262144,72913,80191,82468,72967,80684,78137,80767,84427,0,0,545.45,147.49,22.10,0.38,BWT_TEXT,yes,3.60,1.001,mzip
package.json,256KB,262144,15587,23867,25471,15598,22632,22743,22715,26361,0,0,463.83,210.78,20.07,0.21,BWT_TEXT,yes,16.82,1.001,mzip
Random bytes,4KB,4096,4100,4106,4132,4286,4152,4101,4230,4173,0,0,70.27,0.44,0.00,0.01,BWT_TEXT,yes,1.00,1.000,mzip
Random bytes,1MB,1048576,1048581,1048609,1048719,1051618,1048696,1048584,1048781,1048744,0,0,1107.94,217.40,0.46,0.31,INCOMPRESSIBLE,yes,1.00,1.000,mzip
Random bytes,256KB,262144,262149,262159,262207,262971,262216,262149,262301,262304,0,0,2512.21,34.22,0.10,0.08,BWT_TEXT,yes,1.00,1.000,mzip
TOML config,64KB,65536,8059,10561,10562,8059,10464,10282,10547,11972,0,0,147.88,46.38,14.16,0.11,BWT_TEXT,yes,8.13,1.000,mzip
Random bytes,16KB,16384,16389,16394,16421,16575,16440,16389,16518,16541,0,0,195.42,1.42,0.01,0.00,BWT_TEXT,yes,1.00,1.000,mzip
Random bytes,64KB,65536,65541,65546,65578,65843,65596,65541,65673,65694,0,0,643.22,7.26,0.02,0.02,BWT_TEXT,yes,1.00,1.000,mzip
Natural text,256KB,262144,28794,39139,40475,28788,38744,39974,38829,42530,0,0,479.38,186.20,21.05,0.40,BWT_TEXT,yes,9.10,1.000,bzip2
C,256KB,262144,15706,22844,26379,15689,23000,21192,23083,25017,0,0,694.44,310.92,21.79,0.25,BWT_TEXT,yes,16.69,0.999,bzip2
Docker Compose,256KB,262144,5691,6959,8841,5684,7736,6505,7820,8226,0,0,747.03,529.03,18.74,0.12,BWT_TEXT,yes,46.06,0.999,bzip2
Base64 data,1MB,1048576,791248,791248,792355,793501,807404,790139,807490,813831,0,0,1195.59,259.57,2.58,2.12,RAW,yes,1.33,0.999,brotli
Base64 data,256KB,262144,197843,197843,198141,198401,202140,197547,202226,203395,0,0,292.69,70.34,0.59,0.64,RAW,yes,1.33,0.999,brotli
SQL dump,256KB,262028,15424,23783,25763,15397,23692,22787,23775,25837,0,0,528.69,302.85,20.46,0.26,BWT_TEXT,yes,16.99,0.998,bzip2
Natural text,64KB,65536,7432,10556,10567,7418,10508,10645,10583,11527,0,0,141.50,44.86,14.37,0.12,BWT_TEXT,yes,8.82,0.998,bzip2
Base64 data,16KB,16384,12387,12387,12455,12464,12892,12363,12968,12836,0,0,54.19,1.60,0.07,0.04,RAW,yes,1.32,0.998,brotli
Base64 data,64KB,65536,49498,49498,49598,49651,50796,49398,50873,50926,0,0,100.14,8.61,0.16,0.15,RAW,yes,1.32,0.998,brotli
TypeScript/JSX,256KB,262144,12962,20544,24113,12935,20572,19699,20657,23316,0,0,676.45,325.74,22.14,0.26,BWT_TEXT,yes,20.22,0.998,bzip2
GraphQL queries,256KB,262144,7971,13773,16171,7952,15048,13852,15132,15323,0,0,709.97,406.83,22.10,0.19,BWT_TEXT,yes,32.89,0.998,bzip2
C,64KB,65536,5343,7106,7465,5330,7004,6454,7082,7705,0,0,172.02,72.11,13.78,0.09,BWT_TEXT,yes,12.27,0.998,bzip2
PHP,64KB,65536,3347,4120,4649,3337,4056,3601,4142,4545,0,0,204.95,90.94,14.93,0.08,BWT_TEXT,yes,19.58,0.997,bzip2
Bash script,256KB,262144,10581,17080,18859,10548,18416,16111,18500,18763,0,0,600.74,310.84,21.47,0.21,BWT_TEXT,yes,24.77,0.997,bzip2
HTML,64KB,65469,5838,8534,8831,5819,8408,8152,8486,9329,0,0,170.50,50.46,13.38,0.11,BWT_TEXT,yes,11.21,0.997,bzip2
Python,64KB,65536,5491,7182,7488,5471,7168,6743,7243,7715,0,0,222.86,89.10,19.31,0.13,BWT_TEXT,yes,11.94,0.996,bzip2
YAML config,256KB,262144,11864,18253,20185,11815,18248,17404,18331,20334,0,0,588.31,309.41,20.95,0.26,BWT_TEXT,yes,22.10,0.996,bzip2
Email headers,256KB,262144,22064,32447,35222,21956,31860,31551,31945,36304,0,0,517.34,240.02,27.62,0.35,BWT_TEXT,yes,11.88,0.995,bzip2
INI config,16KB,16384,2863,3599,3623,2845,3688,3517,3764,3972,0,0,60.89,7.51,12.13,0.04,KV_CONFIG,yes,5.72,0.994,bzip2
GraphQL queries,64KB,65536,2915,4290,4556,2895,4504,4179,4589,4828,0,0,207.07,105.78,13.98,0.07,BWT_TEXT,yes,22.48,0.993,bzip2
Base64 data,4KB,4096,3128,3128,3150,3170,3360,3106,3436,3269,0,0,50.22,0.35,0.03,0.01,RAW,yes,1.31,0.993,brotli
INI config,64KB,65536,10361,13700,13597,10274,13524,13436,13601,14680,0,0,119.03,37.58,12.20,0.13,KV_CONFIG,yes,6.33,0.992,bzip2
SQL dump,64KB,65336,4865,6989,7122,4824,6912,6562,6990,7467,0,0,170.01,70.87,14.24,0.08,BWT_TEXT,yes,13.43,0.992,bzip2
K8s manifests,256KB,262144,7866,10238,13553,7795,11504,9620,11589,11700,0,0,635.99,310.84,19.69,0.17,BWT_TEXT,yes,33.33,0.991,bzip2
Cargo.toml,64KB,65536,3626,5072,5195,3590,4916,4826,5001,5482,0,0,164.29,65.34,13.23,0.07,BWT_TEXT,yes,18.07,0.990,bzip2
Natural text,16KB,16384,2051,2940,2974,2030,3020,2961,3096,3237,0,0,68.62,8.76,12.42,0.04,BWT_TEXT,yes,7.99,0.990,bzip2
Markdown docs,64KB,65536,3910,6171,6406,3869,6236,6133,6320,6855,0,0,167.04,64.41,16.89,0.09,BWT_TEXT,yes,16.76,0.990,bzip2
Email headers,64KB,65536,7014,9317,9547,6939,9108,8880,9192,10287,0,0,155.11,66.45,13.90,0.13,BWT_TEXT,yes,9.34,0.989,bzip2
Unicode text,256KB,262144,7767,12874,14078,7681,13916,12868,14001,13743,0,0,549.95,300.22,20.90,0.17,BWT_TEXT,yes,33.75,0.989,bzip2
Go,64KB,65536,3550,4407,4590,3509,4448,4118,4526,4703,0,0,220.39,116.97,13.31,0.06,BWT_TEXT,yes,18.46,0.988,bzip2
YAML config,64KB,65536,3975,5353,5625,3926,5284,4957,5370,5967,0,0,182.80,86.15,13.91,0.09,BWT_TEXT,yes,16.49,0.988,bzip2
