type,size,original,mzip,zstd,gzip,bzip2,xz,brotli,7z,rar,lz4,snappy,time_mzip,time_zstd,decomp_mzip,decomp_zstd,detected,verified,mzip_ratio,advantage,winner
CSV data,64KB,65520,7255,12549,15283,13732,9988,10127,10065,16704,0,0,170.71,33.78,12.67,0.14,CSV_COLUMNAR,yes,9.03,1.377,mzip
Integer array,64KB,65536,3350,40250,22832,22247,8080,18389,8156,4536,0,0,82.51,11.59,11.92,0.09,NUMERIC,yes,19.56,1.354,mzip
Makefile,1MB,1048576,47666,71438,100273,77697,63744,63177,63827,89653,0,0,2329.26,1248.81,15.93,1.00,UNKNOWN,yes,22.00,1.325,mzip
Integer array,256KB,262144,13213,115832,91036,89248,29700,92287,29786,17487,0,0,222.35,44.90,10.87,0.87,NUMERIC,yes,19.84,1.323,mzip
Integer array,1MB,1048576,52614,319051,363956,359174,114888,309445,114974,69538,0,0,826.85,238.14,13.12,4.77,NUMERIC,yes,19.93,1.322,mzip
CSV data,16KB,16347,2163,3328,4135,3695,2984,2778,3061,4459,0,0,70.94,7.88,10.70,0.04,CSV_COLUMNAR,yes,7.56,1.284,mzip
Timestamps (jitter),4KB,4096,923,3282,3232,3283,2172,2885,2250,1180,0,0,63.30,0.41,15.36,0.02,NUMERIC,yes,4.44,1.278,mzip
Sparse bitmap,64KB,65536,689,1251,1244,880,1460,1046,1544,1369,0,0,96.74,49.89,10.61,0.04,SPARSE,yes,95.12,1.277,mzip
JSON API,4KB,3955,276,397,516,464,504,352,579,556,0,0,6.64,2.01,12.06,0.01,TEMPLATE,yes,14.33,1.275,mzip
Makefile,256KB,262144,13060,18580,25342,19452,17004,16621,17089,23045,0,0,661.55,310.07,11.43,0.28,UNKNOWN,yes,20.07,1.273,mzip
GPS coordinates,16KB,16384,2582,9555,9766,11801,6636,6903,6713,3207,0,0,64.48,2.60,12.87,0.08,NUMERIC,yes,6.35,1.242,mzip
Makefile,64KB,65536,3876,5330,6883,5276,5024,4752,5107,6414,0,0,206.95,59.45,10.58,0.08,UNKNOWN,yes,16.91,1.226,mzip
Timestamps (jitter),16KB,16384,3613,13395,12824,12865,8384,8810,8460,4269,0,0,56.03,1.68,11.32,0.04,NUMERIC,yes,4.53,1.182,mzip
JavaScript,64KB,65536,4511,6852,7255,5319,6804,6358,6879,7410,0,0,252.74,73.39,12.84,0.09,CODE_STREAM,yes,14.53,1.179,mzip
JavaScript,256KB,262144,11366,20474,24970,13230,20508,19471,20593,22439,0,0,810.31,271.14,18.00,0.23,CODE_STREAM,yes,23.06,1.164,mzip
GPS coordinates,1MB,1048576,158365,606341,619990,747826,417148,439067,417233,183429,0,0,902.11,262.80,14.40,5.02,NUMERIC,yes,6.62,1.158,mzip
JavaScript,1MB,1048576,38287,67586,95036,44108,68500,65512,68584,75302,0,0,2896.36,998.60,45.92,0.78,CODE_STREAM,yes,27.39,1.152,mzip
GPS coordinates,256KB,262144,39663,151725,155147,187183,104392,109211,104475,45686,0,0,234.29,64.13,11.00,1.26,NUMERIC,yes,6.61,1.152,mzip
GPS coordinates,64KB,65536,9980,38300,38829,46979,26184,27443,26260,11452,0,0,85.51,12.09,11.94,0.30,NUMERIC,yes,6.57,1.147,mzip
Sparse bitmap,256KB,262144,2682,4485,4644,3076,5424,4020,5508,5061,0,0,227.07,153.96,12.55,0.09,SPARSE,yes,97.74,1.147,mzip
JavaScript,16KB,16384,1968,2532,2602,2392,2544,2247,2621,2703,0,0,92.51,15.08,13.75,0.04,CODE_STREAM,yes,8.33,1.142,mzip
Makefile,16KB,16384,1449,1904,2161,1893,1892,1636,1968,2118,0,0,81.76,12.16,12.01,0.03,UNKNOWN,yes,11.31,1.129,mzip
Python,1MB,1048576,36617,64560,97787,41125,68092,63689,68176,72135,0,0,2048.73,1021.28,47.91,0.73,BWT_TEXT,yes,28.64,1.123,mzip
Access log,256KB,262144,22406,31814,32820,25139,30212,30548,30297,37491,0,0,328.39,144.56,17.36,0.27,TEMPLATE,yes,11.70,1.122,mzip
Java,1MB,1048576,33492,55562,79186,37186,54988,47984,55071,61723,0,0,1670.58,643.24,47.03,0.66,BWT_TEXT,yes,31.31,1.110,mzip
Access log,1MB,1048576,87179,124277,129867,96667,116688,120148,116773,145040,0,0,1315.88,529.81,37.79,0.97,TEMPLATE,yes,12.03,1.109,mzip
PHP,1MB,1048576,25605,43540,59268,28242,44760,40126,44846,49245,0,0,2106.46,1150.30,45.79,0.51,BWT_TEXT,yes,40.95,1.103,mzip
Timestamps (jitter),64KB,65536,14365,56302,51530,51628,33176,35209,33253,15798,0,0,86.43,8.96,11.43,0.19,NUMERIC,yes,4.56,1.100,mzip
Executable,64KB,65536,32757,43802,42966,43549,41996,41105,42082,35805,0,0,116.15,18.94,10.83,0.21,NUMERIC,yes,2.00,1.093,mzip
Sparse bitmap,1MB,1048576,10629,17706,18333,11614,21136,15835,21219,19564,0,0,606.45,436.09,12.12,0.31,SPARSE,yes,98.65,1.093,mzip
Go,1MB,1048576,26726,44713,58102,29183,48948,45072,49031,48957,0,0,2208.23,1180.68,47.60,0.51,BWT_TEXT,yes,39.23,1.092,mzip
Timestamps (jitter),1MB,1048576,229406,850407,824669,838024,528472,555495,528558,250393,0,0,818.62,202.91,12.97,2.83,NUMERIC,yes,4.57,1.091,mzip
Timestamps (jitter),256KB,262144,57374,212551,206200,206653,132232,141145,132316,62608,0,0,225.10,39.09,11.20,0.74,NUMERIC,yes,4.57,1.091,mzip
Access log,16KB,16384,1906,2288,2403,2078,2372,2206,2448,2718,0,0,21.73,9.16,11.05,0.03,TEMPLATE,yes,8.60,1.090,mzip
XML document,4KB,3973,292,336,472,423,444,316,519,491,0,0,47.09,2.28,11.01,0.01,LINE_GROUP_TPL,yes,13.61,1.082,mzip
Rust,1MB,1048576,29612,49605,64701,32026,53412,47829,53495,55409,0,0,1742.93,864.75,47.83,0.51,BWT_TEXT,yes,35.41,1.082,mzip
Executable,1MB,1048576,500972,702996,682424,682685,660972,669495,661056,540390,0,0,1414.34,335.28,15.77,3.06,NUMERIC,yes,2.09,1.079,mzip
C,1MB,1048576,51818,79080,101555,55450,82548,74885,82631,88330,0,0,1985.40,917.29,49.18,0.81,BWT_TEXT,yes,20.24,1.070,mzip
Access log,64KB,65536,6496,8246,8570,6951,8108,7973,8184,9931,0,0,85.32,42.75,11.91,0.08,TEMPLATE,yes,10.09,1.070,mzip
INI config,1MB,1048576,148248,209497,210227,158103,200100,203590,200186,218328,0,0,1403.95,689.78,25.79,1.69,KV_CONFIG,yes,7.07,1.066,mzip
Executable,4KB,4096,2084,2689,2682,2842,2756,2497,2834,2222,0,0,46.62,0.96,12.32,0.01,NUMERIC,yes,1.97,1.066,mzip
Executable,256KB,262144,127999,175778,171097,171897,166256,166727,166342,136145,0,0,371.55,69.45,12.08,0.76,NUMERIC,yes,2.05,1.064,mzip
Syslog,64KB,65536,9020,11852,12081,9575,11732,11357,11807,13447,0,0,79.29,36.76,12.41,0.10,TEMPLATE,yes,7.27,1.062,mzip
Syslog,16KB,16384,2567,3127,3241,2719,3264,2991,3339,3629,0,0,19.54,7.58,10.78,0.03,TEMPLATE,yes,6.38,1.059,mzip
Syslog,1MB,1048576,129627,184664,187677,136993,173160,176865,173245,197041,0,0,1228.21,472.55,39.68,1.32,TEMPLATE,yes,8.09,1.057,mzip
Syslog,4KB,4096,836,925,976,897,1020,883,1097,1097,0,0,6.35,1.65,10.70,0.02,TEMPLATE,yes,4.90,1.056,mzip
HTML,1MB,1048558,66700,104732,123787,70429,102544,103209,102628,114163,0,0,1739.34,664.96,46.88,1.06,HTML_STREAM,yes,15.72,1.056,mzip
Syslog,256KB,262144,33351,46705,47226,35152,44500,44521,44586,50587,0,0,316.49,129.05,17.75,0.35,TEMPLATE,yes,7.86,1.054,mzip
YAML config,1MB,1048576,39949,65588,77658,42094,67616,63554,67702,73564,0,0,1861.11,906.59,49.29,0.71,BWT_TEXT,yes,26.25,1.054,mzip
TypeScript/JSX,1MB,1048576,44017,71525,93054,46368,73564,70337,73648,82090,0,0,1996.87,958.26,48.31,0.69,BWT_TEXT,yes,23.82,1.053,mzip
INI config,4KB,4096,866,1038,1068,912,1136,985,1211,1200,0,0,43.54,1.43,10.53,0.01,KV_CONFIG,yes,4.73,1.053,mzip
Cargo.toml,1MB,1048576,37687,61745,70526,39664,62072,61217,62157,67263,0,0,1865.53,986.23,44.54,0.74,BWT_TEXT,yes,27.82,1.052,mzip
Bash script,1MB,1048576,36606,61212,72560,38403,66108,57582,66192,67610,0,0,1795.81,913.01,44.71,0.73,BWT_TEXT,yes,28.64,1.049,mzip
Docker Compose,1MB,1048576,18900,25294,33442,19797,28572,22811,28658,29710,0,0,2420.38,1611.67,43.17,0.36,BWT_TEXT,yes,55.48,1.047,mzip
Markdown docs,1MB,1048576,40230,70694,89494,42007,75828,71652,75913,81124,0,0,1695.62,848.44,45.25,0.80,BWT_TEXT,yes,26.06,1.044,mzip
Nginx access log,1MB,1048576,85728,119411,128768,89307,115712,114951,115798,134261,0,0,1538.66,649.77,45.34,0.84,COLUMNAR,yes,12.23,1.042,mzip
CSS,1MB,1048576,42681,71083,81459,44446,76668,70007,76751,81953,0,0,1728.41,784.20,46.30,0.68,BWT_TEXT,yes,24.57,1.041,mzip
package.json,1MB,1048576,56529,88834,98841,58813,84776,85434,84861,97939,0,0,1553.95,641.22,49.69,0.77,BWT_TEXT,yes,18.55,1.040,mzip
Email headers,1MB,1048576,78669,119100,138227,81796,119044,117016,119129,134228,0,0,1648.91,689.51,47.81,0.92,BWT_TEXT,yes,13.33,1.040,mzip
Sensor 16-bit,64KB,65536,27610,35642,35600,28773,31888,28660,31965,35362,0,0,98.33,19.30,10.61,0.21,NUMERIC,yes,2.37,1.038,mzip
Sensor 16-bit,1MB,1048576,440448,517538,554357,456322,480456,465254,480541,534243,0,0,1140.64,387.41,11.92,3.40,NUMERIC,yes,2.38,1.036,mzip
Sensor 16-bit,256KB,262144,110289,133698,139381,114238,122872,114698,122957,136756,0,0,271.75,84.29,10.99,0.89,NUMERIC,yes,2.38,1.036,mzip
Sensor 16-bit,16KB,16384,6941,9447,9411,7369,8692,7187,8768,9660,0,0,63.20,3.59,15.86,0.05,NUMERIC,yes,2.36,1.035,mzip
HTML,256KB,262144,18288,28985,31975,18909,28372,28390,28456,31724,0,0,473.85,178.61,18.50,0.32,HTML_STREAM,yes,14.33,1.034,mzip
SQL dump,1MB,1048526,56029,86846,99592,57742,87792,84425,87878,95577,0,0,1923.20,1081.07,43.61,0.78,BWT_TEXT,yes,18.71,1.031,mzip
Protobuf-like,16KB,16384,10407,12050,12163,10705,11500,10715,11576,12341,0,0,52.27,2.15,10.44,0.05,DUAL_STREAM,yes,1.57,1.029,mzip
Unicode text,1MB,1048576,28056,46665,54502,28852,51884,46598,51969,49159,0,0,1668.23,926.77,47.53,0.52,BWT_TEXT,yes,37.37,1.028,mzip
INI config,256KB,262144,38904,53936,53041,40005,51704,52602,51790,55880,0,0,366.54,157.90,16.77,0.45,KV_CONFIG,yes,6.74,1.028,mzip
Executable,16KB,16384,8385,10928,10814,11092,10784,10264,10859,8618,0,0,59.80,3.78,11.01,0.05,NUMERIC,yes,1.95,1.028,mzip
Protobuf-like,64KB,65536,41191,47970,48593,42277,45444,42699,45530,49119,0,0,95.68,12.29,11.04,0.16,DUAL_STREAM,yes,1.59,1.026,mzip
Protobuf-like,4KB,4096,2654,3030,3068,2785,2992,2721,3068,3181,0,0,45.86,0.40,11.70,0.01,DUAL_STREAM,yes,1.54,1.025,mzip
Sensor 16-bit,4KB,4096,1787,2492,2464,1969,2436,1832,2512,2512,0,0,68.27,0.72,13.86,0.02,NUMERIC,yes,2.29,1.025,mzip
Nginx access log,256KB,262144,22952,31220,32631,23460,30016,29721,30100,35381,0,0,430.64,183.39,10.94,0.24,COLUMNAR,yes,11.42,1.022,mzip
CSV data,4KB,4047,802,902,1176,1068,976,819,1052,1243,0,0,45.83,1.36,10.21,0.01,CSV_COLUMNAR,yes,5.05,1.021,mzip
PHP,256KB,262144,8606,12638,15698,8788,12548,11319,12632,14085,0,0,599.45,316.83,16.56,0.17,BWT_TEXT,yes,30.46,1.021,mzip
Java,256KB,262144,10977,15806,20681,11202,15028,13408,15111,17323,0,0,441.26,167.53,17.69,0.20,BWT_TEXT,yes,23.88,1.020,mzip
Nginx access log,64KB,65536,6858,8539,8699,6993,8232,8030,8317,9734,0,0,153.83,59.94,3.39,0.09,COLUMNAR,yes,9.56,1.020,mzip
Protobuf-like,256KB,262144,164191,191794,194176,167134,181092,170707,181175,195666,0,0,297.90,48.63,12.65,0.57,DUAL_STREAM,yes,1.60,1.018,mzip
Protobuf-like,1MB,1048576,656313,768189,776628,666478,720616,682764,720699,773740,0,0,1166.34,256.68,14.46,2.29,DUAL_STREAM,yes,1.60,1.015,mzip
TOML config,1MB,1048576,112496,149098,157820,113819,148176,148006,148260,166867,0,0,1592.05,560.45,49.70,1.06,BWT_TEXT,yes,9.32,1.012,mzip
Go,256KB,262144,8615,13284,15381,8692,14012,13033,14097,14263,0,0,662.54,365.22,17.48,0.15,BWT_TEXT,yes,30.43,1.009,mzip
Java,64KB,65536,3996,4993,5820,4023,4764,4270,4840,5356,0,0,144.56,48.30,12.51,0.08,BWT_TEXT,yes,16.40,1.007,mzip
TOML config,256KB,262144,29428,38909,39970,29607,38608,38438,38693,44014,0,0,431.00,144.21,18.72,0.30,BWT_TEXT,yes,8.91,1.006,mzip
.env file,1MB,1048576,290059,319790,332124,291414,321684,312322,321768,338189,0,0,1994.50,486.91,58.86,1.40,BWT_TEXT,yes,3.62,1.005,mzip
.env file,64KB,65536,19876,21302,21642,19964,21472,20708,21556,22408,0,0,170.74,37.73,13.98,0.12,BWT_TEXT,yes,3.30,1.004,mzip
Natural text,1MB,1048576,113920,147219,160004,114399,146816,151402,146900,163430,0,0,1561.12,625.62,48.92,1.38,BWT_TEXT,yes,9.20,1.004,mzip
Python,256KB,262144,12754,20138,25178,12806,20508,19599,20591,22153,0,0,549.40,274.73,17.37,0.24,BWT_TEXT,yes,20.55,1.004,mzip
Cargo.toml,256KB,262144,10555,16952,18273,10591,16904,16584,16988,18280,0,0,529.32,294.36,18.95,0.19,BWT_TEXT,yes,24.84,1.003,mzip
CSS,256KB,262144,12201,19749,21032,12230,20560,19131,20644,22283,0,0,477.34,219.33,17.60,0.20,BWT_TEXT,yes,21.49,1.002,mzip
Rust,256KB,262144,9292,14538,17071,9310,15292,13832,15375,15988,0,0,530.87,292.26,16.56,0.16,BWT_TEXT,yes,28.21,1.002,mzip
Markdown docs,256KB,262144,11424,20064,22954,11441,20656,20386,20741,22466,0,0,480.14,226.55,20.08,0.24,BWT_TEXT,yes,22.95,1.001,mzip
.env file,256KB,262144,72913,80191,82468,72967,80684,78137,80767,84427,0,0,533.65,131.89,20.79,0.38,BWT_TEXT,yes,3.60,1.001,mzip
package.json,256KB,262144,15587,23867,25471,15598,22632,22743,22715,26361,0,0,440.18,186.30,17.83,0.21,BWT_TEXT,yes,16.82,1.001,mzip
Random bytes,4KB,4096,4100,4106,4132,4286,4152,4101,4230,4173,0,0,42.43,0.33,0.00,0.00,BWT_TEXT,yes,1.00,1.000,mzip
Random bytes,1MB,1048576,1048581,1048609,1048719,1051618,1048696,1048584,1048781,1048744,0,0,870.35,150.65,0.44,0.38,INCOMPRESSIBLE,yes,1.00,1.000,mzip
Random bytes,16KB,16384,16389,16394,16421,16575,16440,16389,16518,16541,0,0,188.33,1.42,0.01,0.01,BWT_TEXT,yes,1.00,1.000,mzip
Random bytes,256KB,262144,262149,262159,262207,262971,262216,262149,262301,262304,0,0,2381.06,26.87,0.09,0.06,BWT_TEXT,yes,1.00,1.000,mzip
Random bytes,64KB,65536,65541,65546,65578,65843,65596,65541,65673,65694,0,0,629.32,6.96,0.02,0.01,BWT_TEXT,yes,1.00,1.000,mzip
TOML config,64KB,65536,8059,10561,10562,8059,10464,10282,10547,11972,0,0,140.43,40.82,13.16,0.09,BWT_TEXT,yes,8.13,1.000,mzip
Natural text,256KB,262144,28794,39139,40475,28788,38744,39974,38829,42530,0,0,411.30,159.35,19.27,0.42,BWT_TEXT,yes,9.10,1.000,bzip2
C,256KB,262144,15706,22844,26379,15689,23000,21192,23083,25017,0,0,527.77,248.41,18.05,0.25,BWT_TEXT,yes,16.69,0.999,bzip2
Docker Compose,256KB,262144,5691,6959,8841,5684,7736,6505,7820,8226,0,0,741.33,510.67,16.90,0.12,BWT_TEXT,yes,46.06,0.999,bzip2
Base64 data,1MB,1048576,791248,791248,792355,793501,807404,790139,807490,813831,0,0,978.71,193.33,2.35,2.04,RAW,yes,1.33,0.999,brotli
Base64 data,256KB,262144,197843,197843,198141,198401,202140,197547,202226,203395,0,0,236.78,35.09,0.57,0.53,RAW,yes,1.33,0.999,brotli
SQL dump,256KB,262028,15424,23783,25763,15397,23692,22787,23775,25837,0,0,484.46,251.43,18.35,0.23,BWT_TEXT,yes,16.99,0.998,bzip2
Natural text,64KB,65536,7432,10556,10567,7418,10508,10645,10583,11527,0,0,135.70,44.83,13.52,0.12,BWT_TEXT,yes,8.82,0.998,bzip2
Base64 data,16KB,16384,12387,12387,12455,12464,12892,12363,12968,12836,0,0,54.55,1.63,0.06,0.05,RAW,yes,1.32,0.998,brotli
Base64 data,64KB,65536,49498,49498,49598,49651,50796,49398,50873,50926,0,0,83.57,8.42,0.16,0.15,RAW,yes,1.32,0.998,brotli
TypeScript/JSX,256KB,262144,12962,20544,24113,12935,20572,19699,20657,23316,0,0,546.69,259.88,19.16,0.22,BWT_TEXT,yes,20.22,0.998,bzip2
C,64KB,65536,5343,7106,7465,5330,7004,6454,7082,7705,0,0,175.52,66.65,15.04,0.09,BWT_TEXT,yes,12.27,0.998,bzip2
PHP,64KB,65536,3347,4120,4649,3337,4056,3601,4142,4545,0,0,181.28,85.51,14.07,0.06,BWT_TEXT,yes,19.58,0.997,bzip2
Bash script,256KB,262144,10581,17080,18859,10548,18416,16111,18500,18763,0,0,511.65,254.43,18.14,0.21,BWT_TEXT,yes,24.77,0.997,bzip2
HTML,64KB,65469,5838,8534,8831,5819,8408,8152,8486,9329,0,0,153.88,53.18,12.42,0.10,BWT_TEXT,yes,11.21,0.997,bzip2
Python,64KB,65536,5491,7182,7488,5471,7168,6743,7243,7715,0,0,170.21,71.92,12.40,0.09,BWT_TEXT,yes,11.94,0.996,bzip2
YAML config,256KB,262144,11864,18253,20185,11815,18248,17404,18331,20334,0,0,521.12,271.90,18.75,0.21,BWT_TEXT,yes,22.10,0.996,bzip2
Email headers,256KB,262144,22064,32447,35222,21956,31860,31551,31945,36304,0,0,443.66,192.14,17.98,0.29,BWT_TEXT,yes,11.88,0.995,bzip2
INI config,16KB,16384,2863,3599,3623,2845,3688,3517,3764,3972,0,0,60.71,7.51,12.08,0.05,KV_CONFIG,yes,5.72,0.994,bzip2
Base64 data,4KB,4096,3128,3128,3150,3170,3360,3106,3436,3269,0,0,42.36,0.35,0.03,0.01,RAW,yes,1.31,0.993,brotli
INI config,64KB,65536,10361,13700,13597,10274,13524,13436,13601,14680,0,0,119.62,37.31,11.17,0.13,KV_CONFIG,yes,6.33,0.992,bzip2
SQL dump,64KB,65336,4865,6989,7122,4824,6912,6562,6990,7467,0,0,161.88,65.91,13.72,0.08,BWT_TEXT,yes,13.43,0.992,bzip2
Cargo.toml,64KB,65536,3626,5072,5195,3590,4916,4826,5001,5482,0,0,160.95,64.75,12.85,0.07,BWT_TEXT,yes,18.07,0.990,bzip2
Natural text,16KB,16384,2051,2940,2974,2030,3020,2961,3096,3237,0,0,62.74,13.26,11.58,0.04,BWT_TEXT,yes,7.99,0.990,bzip2
Markdown docs,64KB,65536,3910,6171,6406,3869,6236,6133,6320,6855,0,0,162.76,63.65,14.66,0.07,BWT_TEXT,yes,16.76,0.990,bzip2
Email headers,64KB,65536,7014,9317,9547,6939,9108,8880,9192,10287,0,0,148.34,54.34,13.11,0.09,BWT_TEXT,yes,9.34,0.989,bzip2
Unicode text,256KB,262144,7767,12874,14078,7681,13916,12868,14001,13743,0,0,468.57,248.58,16.61,0.17,BWT_TEXT,yes,33.75,0.989,bzip2
Go,64KB,65536,3550,4407,4590,3509,4448,4118,4526,4703,0,0,206.21,112.30,12.58,0.06,BWT_TEXT,yes,18.46,0.988,bzip2
YAML config,64KB,65536,3975,5353,5625,3926,5284,4957,5370,5967,0,0,173.39,80.53,13.42,0.07,BWT_TEXT,yes,16.49,0.988,bzip2
TypeScript/JSX,64KB,65536,4523,6410,6827,4464,6316,5916,6392,7082,0,0,180.80,86.26,13.44,0.10,BWT_TEXT,yes,14.49,0.987,bzip2
Access log,4KB,4096,682,724,760,738,796,673,873,874,0,0,7.23,1.88,11.34,0.01,TEMPLATE,yes,6.01,0.987,brotli
Bash script,64KB,65536,3798,5288,5456,3739,5528,4941,5604,5793,0,0,165.89,73.88,13.63,0.08,BWT_TEXT,yes,17.26,0.984,bzip2
package.json,64KB,65536,5018,6734,6944,4940,6420,6305,6505,7528,0,0,141.76,45.58,12.93,0.07,BWT_TEXT,yes,13.06,0.984,bzip2
CSS,64KB,65536,4230,5961,5989,4156,6004,5542,6079,6554,0,0,159.75,70.48,12.59,0.08,BWT_TEXT,yes,15.49,0.983,bzip2
